Week_Num,datetime,Article_Num,Polution,Enviroment_Polution,Biodiversity_Loss,Acid_Rain,Water_Pollution,Climate_Crisis,Accelerated_Global_Warming,Ozone_Layer_Depletion,Hazardous_Substance_Leakage,Carbon_Dioxide,Weekly_News_Count,News_Ratio,tempmax,tempmin,temp,dew,humidity,precip,windspeed,sealevelpressure,moonphase,abnormal_weather_count
1,2000-01-02,10,2.5896490027865373,-0.48716169359350703,-0.48716169359350703,0.7948427632315116,-0.48716169359350703,-0.48716169359350703,-0.48716169359350703,-0.48716169359350703,-0.48716169359350703,0.025640089136500396,29724,0.0003364284753061,47.6,29.3,41.45,31.5,68.35,0.117,10.05,1020.85,0.8300000000000001,0.0
2,2000-01-09,28,2.8226527276752678,-0.38933141071383004,-0.38933141071383004,0.0,-0.38933141071383004,-0.38933141071383004,-0.38933141071383004,-0.29199855803537256,-0.38933141071383004,-0.19466570535691502,29724,0.0009419997308572,35.714285714285715,21.342857142857145,29.12857142857143,19.485714285714288,68.74285714285715,0.1091428571428571,9.971428571428572,1022.157142857143,0.55,0.0
3,2000-01-16,16,2.6690889408514504,-0.4710156954443736,-0.4710156954443736,-0.24672250713752902,-0.4710156954443736,-0.4710156954443736,-0.4710156954443736,-0.24672250713752902,-0.4710156954443736,0.6504502460898491,29724,0.0005382855604898,38.871428571428574,24.857142857142858,32.785714285714285,23.485714285714288,69.67142857142858,0.0377142857142857,10.0,1022.9428571428572,0.22,0.0
4,2000-01-23,19,2.7534175875110103,-0.4236027057709247,-0.4236027057709247,-0.15885101466409676,-0.4236027057709247,-0.4236027057709247,-0.4236027057709247,-0.4236027057709247,-0.4236027057709247,0.37065236754955905,29724,0.0006392141030816,35.24285714285714,18.414285714285715,26.142857142857142,15.528571428571428,65.64285714285714,0.0195714285714285,9.742857142857144,1027.2857142857142,0.4614285714285714,0.0
5,2000-01-30,10,2.7930648588097933,-0.22103390968998363,-0.42197382758996876,0.1808459261099866,-0.42197382758996876,-0.42197382758996876,-0.42197382758996876,-0.42197382758996876,-0.42197382758996876,-0.22103390968998363,29724,0.0003364284753061,32.0,14.12857142857143,23.357142857142858,10.9,60.34285714285715,0.0038571428571428,10.8,1032.1571428571428,0.6971428571428572,0.0
6,2000-02-06,13,2.812781072532813,-0.3887583596183562,-0.3887583596183562,-0.16007697160755843,-0.3887583596183562,-0.3887583596183562,-0.3887583596183562,-0.3887583596183562,-0.3887583596183562,0.06860441640323935,29724,0.0004373570178979,34.58571428571428,15.014285714285714,25.17142857142857,14.971428571428572,67.17142857142856,0.0172857142857142,10.214285714285714,1029.7142857142858,0.6371428571428571,0.0
7,2000-02-13,20,2.572226715428957,-0.4724498048747064,-0.4724498048747064,0.8924051869855565,-0.4724498048747064,-0.4724498048747064,-0.4724498048747064,-0.4724498048747064,-0.4724498048747064,-0.1574832682915688,29724,0.0006728569506122,38.17142857142857,19.642857142857142,29.27142857142857,18.057142857142857,64.3,0.0075714285714285,10.12857142857143,1019.6714285714286,0.16,0.0
8,2000-02-20,21,2.7809315131361476,-0.4183702276399514,-0.4183702276399514,-0.04922002678117074,-0.4183702276399514,-0.4183702276399514,-0.4183702276399514,-0.4183702276399514,-0.4183702276399514,0.196880107124683,29724,0.0007064997981429,38.22857142857144,18.571428571428573,27.985714285714288,11.685714285714283,51.885714285714286,0.0052857142857142,12.014285714285714,1020.3,0.4057142857142857,0.0
9,2000-02-27,47,2.6449755662303693,-0.43608916145733684,-0.43608916145733684,0.7489357338071656,-0.38868816564675673,-0.43608916145733684,-0.43608916145733684,-0.43608916145733684,-0.43608916145733684,-0.38868816564675673,29724,0.0015812138339389,40.12857142857143,19.67142857142857,30.242857142857144,15.071428571428571,54.55714285714286,0.0114285714285714,12.585714285714284,1023.3,0.6457142857142857,0.0
10,2000-03-05,17,2.643130457215721,-0.42478882348109803,-0.42478882348109803,-0.42478882348109803,-0.42478882348109803,-0.42478882348109803,-0.42478882348109803,-0.42478882348109803,-0.42478882348109803,0.7551801306330632,29724,0.0005719284080204,50.271428571428565,27.27142857142857,38.41428571428571,22.52857142857143,55.142857142857146,0.0,10.5,1024.2142857142858,0.8671428571428572,0.0
