Week_Num,datetime_x,Article_Num,Polution,Enviroment_Polution,Biodiversity_Loss,Acid_Rain,Water_Pollution,Climate_Crisis,Accelerated_Global_Warming,Ozone_Layer_Depletion,Hazardous_Substance_Leakage,Carbon_Dioxide,Weekly_News_Count,News_Ratio,datetime_y,tempmax,tempmin,temp,dew,humidity,precip,windspeed,sealevelpressure,moonphase
12,2000-03-19,15,16,0,0,4,0,0,0,0,0,0,29724,0.0005046427129592,2000-01-02,47.6,29.3,41.45,31.5,68.35,0.117,10.05,1020.85,0.8300000000000001
13,2000-03-26,12,15,0,0,1,0,0,0,0,0,2,30657,0.0003914277326548,2000-01-09,35.714285714285715,21.342857142857145,29.12857142857143,19.485714285714288,68.74285714285715,0.1091428571428571,9.971428571428572,1022.157142857143,0.55
14,2000-04-02,12,15,0,0,1,0,0,0,1,0,0,32991,0.0003637355642447,2000-01-16,38.871428571428574,24.857142857142858,32.785714285714285,23.485714285714288,69.67142857142858,0.0377142857142857,10.0,1022.9428571428572,0.22
15,2000-04-09,13,13,0,0,1,0,0,0,0,0,6,32991,0.0003940468612651,2000-01-23,35.24285714285714,18.414285714285715,26.142857142857142,15.528571428571428,65.64285714285714,0.0195714285714285,9.742857142857144,1027.2857142857142,0.4614285714285714
16,2000-04-16,34,30,0,0,5,1,0,0,0,0,10,32991,0.0010305840986935,2000-01-30,32.0,14.12857142857143,23.357142857142858,10.9,60.34285714285715,0.0038571428571428,10.8,1032.1571428571428,0.6971428571428572
17,2000-04-23,25,33,0,0,3,0,0,0,0,0,2,32991,0.0007577824255099,2000-02-06,34.58571428571428,15.014285714285714,25.17142857142857,14.971428571428572,67.17142857142856,0.0172857142857142,10.214285714285714,1029.7142857142858,0.6371428571428571
18,2000-04-30,17,19,0,0,2,0,0,0,0,0,4,32991,0.0005152920493467,2000-02-13,38.17142857142857,19.642857142857142,29.27142857142857,18.057142857142857,64.3,0.0075714285714285,10.12857142857143,1019.6714285714286,0.16
19,2000-05-07,19,23,0,0,3,0,0,0,0,0,3,32991,0.0005759146433875,2000-02-20,38.22857142857144,18.571428571428573,27.985714285714288,11.685714285714283,51.885714285714286,0.0052857142857142,12.014285714285714,1020.3,0.4057142857142857
20,2000-05-14,24,21,1,0,7,0,0,0,0,0,2,32991,0.0007274711284895,2000-02-27,40.12857142857143,19.67142857142857,30.242857142857144,15.071428571428571,54.55714285714286,0.0114285714285714,12.585714285714284,1023.3,0.6457142857142857
21,2000-05-21,31,37,0,0,3,0,0,0,0,0,2,32991,0.0009396502076323,2000-03-05,50.271428571428565,27.27142857142857,38.41428571428571,22.52857142857143,55.142857142857146,0.0,10.5,1024.2142857142858,0.8671428571428572
