datetime, nothing, molfrac
2000-01-02,2000.0041,368.89
2000-01-09,2000.0232,369.03
2000-01-16,2000.0423,370.19
2000-01-23,2000.0615,370.24
2000-01-30,2000.0806,369.41
2000-02-06,2000.0997,369.77
2000-02-13,2000.1189,370.14
2000-02-20,2000.1380,369.52
2000-02-27,2000.1571,370.27
2000-03-05,2000.1762,370.24
2000-03-12,2000.1954,370.80
2000-03-19,2000.2145,371.05
2000-03-26,2000.2336,371.29
2000-04-02,2000.2527,371.23
2000-04-09,2000.2719,372.17
2000-04-16,2000.2910,372.50
2000-04-23,2000.3101,372.08
2000-04-30,2000.3292,371.07
2000-05-07,2000.3484,372.04
2000-05-14,2000.3675,371.67
2000-05-21,2000.3866,372.24
2000-05-28,2000.4057,372.04
2000-06-04,2000.4249,372.08
2000-06-11,2000.4440,371.83
2000-06-18,2000.4631,371.95
2000-06-25,2000.4822,371.41
2000-07-02,2000.5014,370.38
2000-07-09,2000.5205,370.31
2000-07-16,2000.5396,370.10
2000-07-23,2000.5587,369.35
2000-07-30,2000.5779,369.08
2000-08-06,2000.5970,368.62
2000-08-13,2000.6161,368.40
2000-08-20,2000.6352,367.68
2000-08-27,2000.6544,367.70
2000-09-03,2000.6735,367.32
2000-09-10,2000.6926,367.33
2000-09-17,2000.7117,366.86
2000-09-24,2000.7309,366.86
2000-10-01,2000.7500,366.78
2000-10-08,2000.7691,366.88
2000-10-15,2000.7883,367.13
2000-10-22,2000.8074,367.62
2000-10-29,2000.8265,368.00
2000-11-05,2000.8456,368.20
2000-11-12,2000.8648,368.75
2000-11-19,2000.8839,368.64
2000-11-26,2000.9030,368.86
2000-12-03,2000.9221,369.84
2000-12-10,2000.9413,369.83
2000-12-17,2000.9604,369.81
2000-12-24,2000.9795,370.02
2000-12-31,2000.9986,370.34
2001-01-07,2001.0178,370.46
2001-01-14,2001.0370,370.84
2001-01-21,2001.0562,370.69
2001-01-28,2001.0753,371.53
2001-02-04,2001.0945,371.76
2001-02-11,2001.1137,372.14
2001-02-18,2001.1329,371.66
2001-02-25,2001.1521,371.90
2001-03-04,2001.1712,372.37
2001-03-11,2001.1904,372.67
2001-03-18,2001.2096,372.72
2001-03-25,2001.2288,372.58
2001-04-01,2001.2479,372.63
2001-04-08,2001.2671,373.79
2001-04-15,2001.2863,373.90
2001-04-22,2001.3055,373.79
2001-04-29,2001.3247,373.73
2001-05-06,2001.3438,374.12
2001-05-13,2001.3630,373.88
2001-05-20,2001.3822,374.09
2001-05-27,2001.4014,374.07
2001-06-03,2001.4205,373.65
2001-06-10,2001.4397,373.23
2001-06-17,2001.4589,373.30
2001-06-24,2001.4781,373.20
2001-07-01,2001.4973,372.66
2001-07-08,2001.5164,371.51
2001-07-15,2001.5356,371.48
2001-07-22,2001.5548,371.04
2001-07-29,2001.5740,371.06
2001-08-05,2001.5932,370.09
2001-08-12,2001.6123,369.36
2001-08-19,2001.6315,369.48
2001-08-26,2001.6507,369.45
2001-09-02,2001.6699,368.50
2001-09-09,2001.6890,368.72
2001-09-16,2001.7082,368.21
2001-09-23,2001.7274,367.97
2001-09-30,2001.7466,368.21
2001-10-07,2001.7658,368.46
2001-10-14,2001.7849,368.33
2001-10-21,2001.8041,368.87
2001-10-28,2001.8233,369.29
2001-11-04,2001.8425,369.29
2001-11-11,2001.8616,370.01
2001-11-18,2001.8808,370.39
2001-11-25,2001.9000,370.61
2001-12-02,2001.9192,370.96
2001-12-09,2001.9384,371.40
2001-12-16,2001.9575,371.44
2001-12-23,2001.9767,371.87
2001-12-30,2001.9959,372.38
2002-01-06,2002.0151,372.38
2002-01-13,2002.0342,372.91
2002-01-20,2002.0534,372.75
2002-01-27,2002.0726,372.99
2002-02-03,2002.0918,373.13
2002-02-10,2002.1110,373.18
2002-02-17,2002.1301,373.26
2002-02-24,2002.1493,373.91
2002-03-03,2002.1685,374.06
2002-03-10,2002.1877,374.31
2002-03-17,2002.2068,374.81
2002-03-24,2002.2260,374.45
2002-03-31,2002.2452,374.43
2002-04-07,2002.2644,374.70
2002-04-14,2002.2836,375.40
2002-04-21,2002.3027,375.59
2002-04-28,2002.3219,376.23
2002-05-05,2002.3411,375.76
2002-05-12,2002.3603,375.23
2002-05-19,2002.3795,376.10
2002-05-26,2002.3986,376.41
2002-06-02,2002.4178,376.07
2002-06-09,2002.4370,375.62
2002-06-16,2002.4562,375.40
2002-06-23,2002.4753,375.66
2002-06-30,2002.4945,374.99
2002-07-07,2002.5137,374.63
2002-07-14,2002.5329,374.09
2002-07-21,2002.5521,373.51
2002-07-28,2002.5712,373.49
2002-08-04,2002.5904,372.75
2002-08-11,2002.6096,371.98
2002-08-18,2002.6288,371.50
2002-08-25,2002.6479,371.11
2002-09-01,2002.6671,370.43
2002-09-08,2002.6863,371.81
2002-09-15,2002.7055,371.01
2002-09-22,2002.7247,370.67
2002-09-29,2002.7438,370.05
2002-10-06,2002.7630,370.08
2002-10-13,2002.7822,371.41
2002-10-20,2002.8014,370.87
2002-10-27,2002.8205,371.24
2002-11-03,2002.8397,372.14
2002-11-10,2002.8589,372.04
2002-11-17,2002.8781,372.91
2002-11-24,2002.8973,372.94
2002-12-01,2002.9164,373.23
2002-12-08,2002.9356,373.77
2002-12-15,2002.9548,373.75
2002-12-22,2002.9740,374.66
2002-12-29,2002.9932,374.88
2003-01-05,2003.0123,374.73
2003-01-12,2003.0315,375.21
2003-01-19,2003.0507,375.11
2003-01-26,2003.0699,375.48
2003-02-02,2003.0890,375.35
2003-02-09,2003.1082,375.30
2003-02-16,2003.1274,376.57
2003-02-23,2003.1466,376.20
2003-03-02,2003.1658,376.49
2003-03-09,2003.1849,376.55
2003-03-16,2003.2041,376.15
2003-03-23,2003.2233,377.18
2003-03-30,2003.2425,377.03
2003-04-06,2003.2616,377.32
2003-04-13,2003.2808,377.98
2003-04-20,2003.3000,378.54
2003-04-27,2003.3192,378.81
2003-05-04,2003.3384,378.25
2003-05-11,2003.3575,378.25
2003-05-18,2003.3767,379.62
2003-05-25,2003.3959,378.91
2003-06-01,2003.4151,378.59
2003-06-08,2003.4342,378.68
2003-06-15,2003.4534,378.30
2003-06-22,2003.4726,378.49
2003-06-29,2003.4918,377.75
2003-07-06,2003.5110,376.74
2003-07-13,2003.5301,377.41
2003-07-20,2003.5493,376.57
2003-07-27,2003.5685,376.08
2003-08-03,2003.5877,375.12
2003-08-10,2003.6068,374.90
2003-08-17,2003.6260,374.06
2003-08-24,2003.6452,373.61
2003-08-31,2003.6644,373.37
2003-09-07,2003.6836,373.30
2003-09-14,2003.7027,373.05
