datetime,CO,Nox,Sox,TSP,PM-10,VOCs,NH3
2002-01-06,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-01-13,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-01-20,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-01-27,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-02-03,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-02-10,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-02-17,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-02-24,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-03-03,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-03-10,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-03-17,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-03-24,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-03-31,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-04-07,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-04-14,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-04-21,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-04-28,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-05-05,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-05-12,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-05-19,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-05-26,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-06-02,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-06-09,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-06-16,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-06-23,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-06-30,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-07-07,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-07-14,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-07-21,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-07-28,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-08-04,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-08-11,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-08-18,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-08-25,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-09-01,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-09-08,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-09-15,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-09-22,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-09-29,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-10-06,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-10-13,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-10-20,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-10-27,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-11-03,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-11-10,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-11-17,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-11-24,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-12-01,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-12-08,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-12-15,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-12-22,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2002-12-29,15822441.0,23889704.46153846,9117007.192307692,1622400.826923077,1251915.7307692308,14262433.673076924,4280396.115384615
2003-01-05,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-01-12,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-01-19,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-01-26,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-02-02,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-02-09,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-02-16,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-02-23,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-03-02,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-03-09,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-03-16,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-03-23,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-03-30,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-04-06,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-04-13,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-04-20,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-04-27,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-05-04,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-05-11,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-05-18,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-05-25,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-06-01,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-06-08,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
2003-06-15,15488734.557692308,26195010.942307692,9022026.384615384,1652721.0192307692,1276097.0384615385,14585668.038461538,4525021.884615385
