datetime,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2003-01-05,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-01-12,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-01-19,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-01-26,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-02-02,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-02-09,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-02-16,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-02-23,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-03-02,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-03-09,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-03-16,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-03-23,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-03-30,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-04-06,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-04-13,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-04-20,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-04-27,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-05-04,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-05-11,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-05-18,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-05-25,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
2003-06-01,880331425.9038461,1195518399.2884614,65843979.65384615,3064674828.5,140087111.21153846,41225546.48076923,258066921.46153846,5645748212.5
