datetime,TotalPopulation,BusanPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,DaeguPopulation,DaejeonPopulation,GangwonPopulation,GwanguPopulation,GyeonggiPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,InchenPopulation,JejuPopulation,JeollanamPopulation,JeonbukPopulation,SeoulPopulation,UlsanPopulation
2002-01-01,48229948.0,3730125.0,1492713.0,1907725.0,2525803.0,1419573.0,1538720.0,1397452.0,9927473.0,2756744.0,3124418.0,2577989.0,550831.0,2054204.0,1953846.0,10207295.0,1065037.0
2002-02-01,48237847.24319315,3730735.9308787943,1492957.480939614,1908037.4528295293,2526216.683468101,1419805.5018546034,1538972.0161018246,1397680.878811952,9929098.95082044,2757195.5076665073,3124929.7263991046,2578411.230645164,550921.2167264896,2054540.4435923574,1954166.0066629963,10208966.780893257,1065211.4349024117
2002-03-01,48245747.78014766,3731346.9618176506,1493202.0019210377,1908349.9568335048,2526630.4346905015,1420038.0417890467,1539224.07347959,1397909.7951103514,9930725.167943904,2757647.089282273,3125441.536610269,2578833.530444509,551011.448228941,2054876.9422884395,1954486.065737628,10210638.835595723,1065385.8983742865
2002-04-01,48253649.61107541,3731958.0928329565,1493446.562950829,1908662.512020308,2527044.2536782976,1420270.6198095663,1539476.172140056,1398138.7489013372,9932351.651414005,2758098.744859407,3125953.4306472195,2579255.8994093603,551101.6945097739,2055213.4960972702,1954806.177232479,10212311.164152239,1065560.3904203032
2002-05-01,48261552.73618836,3732569.323941104,1493691.1640355478,1908975.1183983225,2527458.1404425893,1420503.2359224008,1539728.3120899852,1398367.740191051,9933978.401274372,2758550.4744100254,3126465.4085236867,2579678.337551048,551191.9555714091,2055550.1050278775,1955126.3411561358,10213983.766607665,1065734.9110451424
2002-06-01,48269457.15569845,3733180.6551584853,1493935.8051817534,1909287.7759759314,2527872.094994475,1420735.890133788,1539980.4933361388,1398596.7689856333,9935605.417568626,2759002.277946241,3126977.4702534,2580100.8448809003,551282.2314162671,2055886.769089288,1955446.557517184,10215656.643006852,1065909.460253484
2002-07-01,48277362.86981769,3733792.0865014973,1494180.486396008,1909600.484761521,2528286.1173450598,1420968.582449969,1540232.715885281,1398825.8352912276,9937232.700340413,2759454.155480174,3127489.6158500947,2580523.42141025,551372.5220467695,2056223.4882905323,1955766.8263242128,10217329.793394672,1066084.0380500103
2002-08-01,48285269.878758125,3734403.617986539,1494425.207684874,1909913.2447634784,2528700.2075054464,1421201.3128771838,1540484.9797441766,1399054.9391139774,9938860.249633372,2759906.1070239423,3128001.845327507,2580946.0671504303,551462.8274653378,2056560.2626406408,1956087.147585812,10219003.217816,1066258.6444394034
2002-09-01,48293178.182731815,3735015.249630012,1494669.9690549148,1910226.055990192,2529114.365486742,1421434.081421675,1540737.2849195919,1399284.0804600273,9940488.065491159,2760358.132589669,3128514.158699374,2581368.7821127777,551553.1476743941,2056897.0921486462,1956407.521310573,10220676.91631572,1066433.279426346
2002-10-01,48301087.781950854,3735626.9814483197,1494914.7705126947,1910538.9184500508,2529528.591300053,1421666.8880896848,1540989.6314182924,1399513.2593355228,9942116.147957426,2760810.232189475,3129026.5559794367,2581791.5663086283,551643.4826763605,2057233.976823582,1956727.9475070871,10222350.888938716,1066607.943015522
2002-11-01,48308998.6766274,3736238.81345787,1495159.61206478,1910851.8321514467,2529942.8849564902,1421899.7328874578,1541242.0192470476,1399742.475746611,9943744.497075846,2761262.405835489,3129539.037181438,2582214.4197493223,551733.8324736602,2057570.9166744843,1957048.4261839497,10224025.135729888,1066782.635211616
2002-12-01,48316910.866973616,3736850.7456750725,1495404.4937177373,1911164.797102772,2530357.246467165,1422132.615821239,1541494.4484126263,1399971.7296994394,9945373.11289009,2761714.6535398364,3130051.6023191228,2582637.3424462005,551824.1970687164,2057907.9117103894,1957368.9573497558,10225699.65673414,1066957.3560193137
2003-01-01,48386823.0,3691445.0,1489635.0,1912803.0,2529544.0,1432296.0,1527034.0,1395762.0,10206851.0,2720832.0,3139017.0,2570194.0,552297.0,2017730.0,1954430.0,10174086.0,1072867.0
2003-02-01,48394747.93664353,3692049.595754263,1489878.976815692,1913116.2845193527,2529958.2961801197,1432530.5856650844,1527284.1021342631,1395990.6020187654,10208522.708173627,2721277.6258931835,3139531.1174664013,2570614.9539570636,552387.4568322953,2018060.4697730155,1954750.1023122394,10175752.341825249,1073042.7173229153
2003-03-01,48402674.17125657,3692654.290531003,1490122.9935906266,1913429.6203493683,2530372.6602148903,1432765.2097513014,1527534.245230992,1396219.241478644,10210194.690144552,2721723.324772291,3140045.3191364785,2571035.976859208,552477.9284798775,2018390.9936713458,1955070.2570517801,10177418.95656888,1073218.4634253322
2003-04-01,48410601.704051696,3693259.084346437,1490367.0503313483,1913743.0074984503,2530787.0921154246,1432999.8722649433,1527784.4292968952,1396447.918385768,10211866.945957616,2722169.096649275,3140559.6050240216,2571457.068717726,552568.414945173,2018721.5717038547,1955390.4642272082,10179085.844275588,1073394.238311964
2003-05-01,48418530.535241544,3693863.9772167876,1490611.1470444037,1914056.4459750052,2531201.591892839,1433234.5732123046,1528034.654338683,1396676.6327462709,10213539.475657674,2722614.941536094,3141073.975142826,2571878.2295439113,552658.916230609,2019052.20387941,1955710.7238471129,10180753.004990088,1073570.041987526
