datetime,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2002-01-01,"6,323,269,344","9,772,057,577","726,643,939","23,304,507,726","1,583,005,586","278,592,344","783,024,467","42,771,100,983"
2002-02-01,"3,690,630,583","4,543,830,568","208,953,751","10,968,891,975","543,693,386","178,745,334","2,078,371,768","22,213,117,365"
2002-03-01,"3,381,799,464","4,190,149,710","219,840,563","12,238,304,815","484,704,945","171,837,764","1,843,120,344","22,529,757,605"
2002-04-01,"3,485,039,703","4,302,881,423","246,499,645","12,389,697,111","454,951,773","163,427,534","1,477,703,581","22,520,200,770"
2002-05-01,"3,339,276,241","4,261,000,950","234,870,741","12,549,989,525","423,559,710","153,479,589","1,024,606,228","21,986,782,984"
2002-06-01,"3,399,293,351","4,665,545,583","239,560,827","12,319,476,583","500,023,985","148,149,319","665,778,415","21,937,828,063"
2002-07-01,"3,484,621,706","5,093,742,234","245,497,018","12,671,641,419","486,894,325","147,739,012","438,817,378","22,568,953,092"
2002-08-01,"3,904,736,835","5,822,455,401","233,343,391","12,310,993,551","538,756,752","155,146,160","370,623,472","23,336,055,562"
2002-09-01,"3,673,080,863","5,357,448,332","252,162,133","12,227,373,052","514,298,675","164,156,249","429,583,290","22,618,102,594"
2002-10-01,"3,510,114,633","4,505,714,060","236,992,047","13,025,854,863","450,355,131","181,043,616","742,225,829","22,652,300,179"
2002-11-01,"3,732,931,925","4,690,035,585","281,620,377","12,780,054,535","784,417,692","195,108,575","1,527,314,774","23,991,483,463"
2002-12-01,"3,852,439,499","4,962,095,340","297,902,510","12,576,305,927","519,867,823","206,302,921","2,038,310,370","24,453,224,390"
2003-01-01,"4,202,620,215","5,398,275,671","276,254,279","13,022,574,592","546,140,350","213,600,495","2,423,431,892","26,082,897,494"
2003-02-01,"4,113,119,860","5,138,327,307","250,273,429","11,927,170,163","576,940,914","199,128,859","2,431,528,039","24,636,488,571"
2003-03-01,"3,632,033,754","4,649,447,538","266,497,238","13,083,096,823","480,044,349","181,085,000","1,972,698,606","24,264,903,308"
2003-04-01,"3,783,886,353","4,684,438,963","291,117,803","12,966,769,749","458,663,798","171,169,814","1,680,680,121","24,036,726,601"
2003-05-01,"3,616,245,011","4,546,571,705","256,506,383","12,830,580,936","420,079,845","159,503,607","1,122,195,041","22,951,682,528"
2003-06-01,"3,659,187,473","4,985,885,141","271,502,511","12,961,469,565","478,959,789","152,205,300","663,425,496","23,172,635,275"
2003-07-01,"3,669,708,099","5,356,825,021","277,426,958","12,910,041,564","452,990,044","151,745,603","499,725,517","23,318,462,806"
2003-08-01,"4,005,427,416","5,976,094,086","254,850,715","12,656,503,656","505,175,128","163,124,258","438,499,257","23,999,674,516"
2003-09-01,"3,984,494,267","5,664,915,768","275,971,723","12,424,677,793","511,459,774","172,867,813","479,013,875","23,513,401,013"
2003-10-01,"3,700,111,424","4,850,082,010","267,450,377","13,302,849,948","449,027,450","190,330,769","726,911,833","23,486,763,811"
2003-11-01,"3,917,975,807","4,887,749,839","296,576,475","13,223,011,168","670,416,582","205,136,190","1,360,055,826","24,560,921,887"
2003-12-01,"4,024,213,707","5,263,144,603","333,553,993","13,671,725,962","484,958,371","215,200,793","1,879,024,697","25,871,822,126"
2004-01-01,"4,281,193,230","5,663,017,381","308,394,382","13,076,070,870","532,126,826","220,330,267","2,334,010,077","26,415,143,033"
2004-02-01,"4,409,715,096","5,653,927,533","281,369,526","13,038,455,054","594,667,085","209,818,204","2,559,869,097","26,747,821,595"
2004-03-01,"3,965,311,566","5,217,390,333","305,516,361","13,745,991,398","511,468,935","198,714,905","2,063,508,466","26,007,901,964"
2004-04-01,"3,999,692,877","5,103,648,757","317,306,645","13,479,442,226","486,478,352","188,440,141","1,701,001,783","25,276,010,781"
2004-05-01,"3,812,558,375","4,889,595,262","279,073,888","13,566,421,552","453,905,276","174,226,147","1,084,516,307","24,260,296,807"
2004-06-01,"3,866,174,685","5,412,175,518","309,014,821","13,816,649,952","522,549,587","165,856,442","716,071,180","24,808,492,185"
2004-07-01,"3,938,736,326","6,051,174,415","331,671,467","13,774,559,780","495,779,536","163,785,752","490,829,067","25,246,536,343"
2004-08-01,"4,750,733,276","7,135,972,038","319,811,385","13,501,991,625","642,659,816","176,087,726","393,295,989","26,920,551,855"
2004-09-01,"4,182,977,484","6,203,473,645","318,205,615","13,402,784,417","579,797,333","187,460,113","436,283,975","25,310,982,582"
2004-10-01,"3,875,052,899","5,139,377,407","288,108,292","13,690,048,426","489,303,838","206,036,366","755,186,261","24,443,113,489"
2004-11-01,"4,062,977,450","5,189,317,109","322,360,083","13,859,974,271","808,504,517","223,013,602","1,314,152,607","25,780,299,639"
2004-12-01,"4,160,581,526","5,563,797,756","356,686,081","14,132,200,746","529,188,620","233,664,673","1,875,708,865","26,851,828,267"
2005-01-01,"4,571,610,845","6,326,850,584","356,270,160","14,291,237,479","579,722,397","242,626,053","2,506,904,047","28,875,221,565"
2005-02-01,"4,541,458,942","6,125,197,957","321,001,713","12,703,093,514","630,451,179","226,190,970","2,613,473,825","27,160,868,100"
2005-03-01,"4,128,302,424","5,681,692,598","364,245,330","14,383,999,563","568,244,061","213,566,974","2,333,752,550","27,673,803,500"
2005-04-01,"4,250,788,960","5,571,272,249","368,271,980","14,153,096,482","541,463,827","206,176,795","1,928,583,601","27,019,653,894"
