week_range,CO,Nox,Sox,TSP,PM-10,VOCs,NH3
2002-01-06~2002-01-12,822766932.0,1242264632.0,474084374.0,84364843.0,65099618.0,741646551.0,222580598.0
2002-01-13~2002-01-19,822433225.5576923,1244569938.4807692,473989393.1923077,84395163.1923077,65123799.307692304,741969785.3653846,222825223.76923078
2002-01-20~2002-01-26,822099519.1153846,1246875244.9615386,473894412.38461536,84425483.38461539,65147980.615384616,742293019.7307693,223069849.53846154
2002-01-27~2002-02-02,821765812.6730769,1249180551.4423077,473799431.5769231,84455803.57692307,65172161.92307692,742616254.0961539,223314475.30769232
2002-02-03~2002-02-09,821432106.2307693,1251485857.9230769,473704450.7692308,84486123.76923077,65196343.23076923,742939488.4615384,223559101.07692307
2002-02-10~2002-02-16,821098399.7884616,1253791164.4038463,473609469.96153843,84516443.96153846,65220524.538461536,743262722.8269231,223803726.84615386
2002-02-17~2002-02-23,820764693.3461539,1256096470.8846154,473514489.15384614,84546764.15384616,65244705.84615385,743585957.1923077,224048352.6153846
2002-02-24~2002-03-02,820430986.9038461,1258401777.3653846,473419508.34615386,84577084.34615384,65268887.15384615,743909191.5576923,224292978.3846154
2002-03-03~2002-03-09,820097280.4615384,1260707083.8461537,473324527.53846157,84607404.53846154,65293068.461538464,744232425.9230769,224537604.15384614
2002-03-10~2002-03-16,819763574.0192307,1263012390.3269231,473229546.7307692,84637724.73076923,65317249.76923077,744555660.2884616,224782229.92307693
2002-03-17~2002-03-23,819429867.5769231,1265317696.8076923,473134565.9230769,84668044.92307693,65341431.07692308,744878894.6538461,225026855.69230768
2002-03-24~2002-03-30,819096161.1346154,1267623003.2884614,473039585.11538464,84698365.11538461,65365612.384615384,745202129.0192307,225271481.46153846
2002-03-31~2002-04-06,818762454.6923077,1269928309.7692308,472944604.3076923,84728685.3076923,65389793.692307696,745525363.3846154,225516107.23076922
2002-04-07~2002-04-13,818428748.25,1272233616.25,472849623.5,84759005.5,65413975.0,745848597.75,225760733.0
2002-04-14~2002-04-20,818095041.8076923,1274538922.7307692,472754642.6923077,84789325.6923077,65438156.307692304,746171832.1153846,226005358.76923078
2002-04-21~2002-04-27,817761335.3653846,1276844229.2115386,472659661.88461536,84819645.88461539,65462337.615384616,746495066.4807693,226249984.53846154
