week_range,TotalPopulation,BusanPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,DaeguPopulation,DaejeonPopulation,GangwonPopulation,GwanguPopulation,GyeonggiPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,InchenPopulation,JejuPopulation,JeollanamPopulation,JeonbukPopulation,SeoulPopulation,UlsanPopulation
2002-01-06~2002-01-12,48229948.0,3730125.0,1492713.0,1907725.0,2525803.0,1419573.0,1538720.0,1397452.0,9927473.0,2756744.0,3124418.0,2577989.0,550831.0,2054204.0,1953846.0,10207295.0,1065037.0
2002-01-13~2002-01-19,48231922.81079829,3730277.7327196985,1492774.1202349034,1907803.1132073824,2525906.4208670254,1419631.1254636508,1538783.004025456,1397509.219702988,9927879.48770511,2756856.876916627,3124545.9315997763,2578094.557661291,550853.5541816223,2054288.1108980894,1953926.0016657491,10207712.945223315,1065080.608725603
2002-01-20~2002-01-26,48233897.621596575,3730430.465439397,1492835.2404698068,1907881.2264147648,2526009.841734051,1419689.2509273016,1538846.0080509123,1397566.4394059759,9928285.97541022,2756969.753833254,3124673.8631995525,2578200.115322582,550876.1083632448,2054372.2217961787,1954006.0033314982,10208130.89044663,1065124.217451206
2002-01-27~2002-02-02,48235872.43239486,3730583.1981590954,1492896.3607047105,1907959.339622147,2526113.2626010757,1419747.3763909526,1538909.0120763686,1397623.659108964,9928692.46311533,2757082.630749881,3124801.7947993283,2578305.6729838727,550898.6625448673,2054456.3326942679,1954086.0049972474,10208548.835669942,1065167.8261768087
2002-02-03~2002-02-09,48237847.24319315,3730735.930878794,1492957.480939614,1908037.4528295293,2526216.683468101,1419805.5018546034,1538972.0161018246,1397680.878811952,9929098.95082044,2757195.5076665077,3124929.7263991046,2578411.230645164,550921.2167264896,2054540.4435923572,1954166.0066629965,10208966.780893257,1065211.4349024117
2002-02-10~2002-02-16,48239822.37743178,3730888.688613508,1493018.6111849698,1908115.5788305232,2526320.121273701,1419863.6368382142,1539035.0304462658,1397738.1078865519,9929505.505101306,2757308.403070449,3125057.678951896,2578516.8055950003,550943.7746021025,2054624.5682663778,1954246.0214316542,10209384.794568874,1065255.0507703803
2002-02-17~2002-02-23,48241797.5116704,3731041.446348222,1493079.741430326,1908193.704831517,2526423.559079301,1419921.771821825,1539098.0447907073,1397795.3369611516,9929912.059382172,2757421.29847439,3125185.6315046865,2578622.3805448366,550966.3324777153,2054708.6929403984,1954326.0362003122,10209802.80824449,1065298.6666383492
2002-02-24~2002-03-02,48243772.645909026,3731194.2040829365,1493140.8716756818,1908271.830832511,2526526.996884901,1419979.906805436,1539161.0591351488,1397852.5660357515,9930318.613663038,2757534.1938783317,3125313.584057478,2578727.9554946725,550988.8903533281,2054792.817614419,1954406.0509689702,10210220.821920106,1065342.2825063178
2002-03-03~2002-03-09,48245747.78014766,3731346.9618176506,1493202.0019210377,1908349.9568335048,2526630.434690501,1420038.0417890467,1539224.07347959,1397909.7951103514,9930725.167943904,2757647.089282273,3125441.536610269,2578833.530444509,551011.448228941,2054876.9422884395,1954486.065737628,10210638.835595723,1065385.8983742865
2002-03-10~2002-03-16,48247328.14633321,3731469.1880207118,1493250.914126996,1908412.4678708655,2526713.1984880604,1420084.5573931506,1539274.4932116831,1397955.5858685486,9931050.464637924,2757737.4203977,3125543.915417659,2578918.004237479,551029.4974851075,2054944.2530502058,1954550.0880365982,10210973.301307026,1065420.7967834899
2002-03-17~2002-03-23,48248908.512518756,3731591.414223773,1493299.8263329542,1908474.9789082261,2526795.9622856197,1420131.0729972546,1539324.9129437765,1398001.3766267458,9931375.761331944,2757827.751513127,3125646.294225049,2579002.4780304492,551047.5467412741,2055011.5638119718,1954614.1103355684,10211307.76701833,1065455.6951926933
2002-03-24~2002-03-30,48250488.87870431,3731713.6404268346,1493348.7385389125,1908537.4899455868,2526878.726083179,1420177.5886013585,1539375.3326758696,1398047.1673849428,9931701.058025964,2757918.0826285533,3125748.6730324393,2579086.95182342,551065.5959974407,2055078.874573738,1954678.1326345385,10211642.232729634,1065490.5936018964
