week_range,SeoulPopulation,BusanPopulation,DaeguPopulation,InchenPopulation,GwanguPopulation,DaejeonPopulation,UlsanPopulation,GyeonggiPopulation,GangwonPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,JeonbukPopulation,JeollanamPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,JejuPopulation
2002-01-06~2002-01-12,10586522.358261235,3439430.7935360065,2366784.8686842686,2089859.901386795,1341799.9540643345,1320654.7279267367,827240.6545881288,10813004.145472426,1437473.7739431292,1438334.171739049,2117548.77890053,1703095.625071704,1785395.9030734806,2468534.1592281926,2834173.495520689,387873.9436511603
2002-01-13~2002-01-19,10586267.239300383,3439949.2241574395,2367304.4919321956,2091830.0764139183,1342188.1849147482,1321313.516216903,828166.4789590074,10814678.78738222,1437758.7115929096,1438650.6794442167,2117321.5949148117,1703676.4507704026,1785835.8044858023,2469258.890162569,2835522.701681961,388309.6844364427
2002-01-20~2002-01-26,10586010.62567781,3440466.4748542914,2367823.152485586,2093798.0077085411,1342575.842153718,1321971.2473181884,829091.0481339213,10816355.508893581,1438043.2772439285,1438966.8758079913,2117094.9033363345,1704256.2928973828,1786274.9380422875,2469982.497558011,2836870.2070138017,388745.1414879892
2002-01-27~2002-02-02,10585752.517393513,3440982.545626562,2368340.8503444395,2095763.6952706636,1342962.9257812437,1322627.9212305935,830014.3621128706,10818034.310006509,1438327.4708961856,1439282.7608303728,2116868.704165099,1704835.1514526447,1786713.303742936,2470704.9814145193,2838216.0115162125,389180.31480579986
2002-02-03~2002-02-09,10585530.09209254,3441423.9528791485,2368783.8251400506,2097446.7844960024,1343294.2551998103,1323189.9431480353,830804.7750613041,10819474.9375821,1438570.769374616,1439553.271618652,2116675.2110771514,1705330.5330857874,1787088.4346214999,2471323.359046252,2839368.204511181,389553.0946778887
2002-02-10~2002-02-16,10585269.208007902,3441937.832362912,2369299.735137622,2099408.305126338,1343680.27354894,1323844.653709662,831725.7579620333,10821157.600812223,1438854.2721720298,1439868.5784355889,2116449.926376508,1705907.5650078582,1787525.374304166,2472043.756330454,2840710.8503303635,389987.74106161844
2002-02-17~2002-02-23,10585006.829261541,3442450.5319220945,2369814.682440657,2101367.582024173,1344065.7182866256,1324498.3070824076,832645.4856667977,10822842.343643911,1439137.4029706821,1440183.5739111325,2116225.134083106,1706483.6133582108,1787961.546130996,2472763.030075721,2842051.7953201155,390422.1037116124
2002-02-24~2002-03-02,10584742.955853457,3442962.0515566966,2370328.6670491556,2103324.615189507,1344450.5894128673,1325150.9032662727,833563.9581755975,10824529.166077167,1439420.1617705727,1440498.258045283,2116000.834196946,1707058.678136845,1788396.9501019893,2473481.1802820545,2843391.039480437,390856.18262787047
2002-03-03~2002-03-09,10584401.49380543,3443617.9858915964,2370988.089831375,2105837.5037747324,1344944.580860403,1325988.4020822747,834743.0070316164,10826700.993518142,1439783.1621885777,1440902.394450817,2115713.1721661976,1707796.6018897067,1788955.6269295882,2474402.8653472736,2845110.4256514832,391413.86717675364
2002-03-10~2002-03-16,10584134.204027696,3444126.8085557274,2371499.8739952184,2107789.4084086367,1345328.1408747726,1326638.5818344126,835658.6105210683,10828392.569326406,1440065.0707055845,1441216.3669474972,2115489.9977823044,1708369.4185044132,1789389.2758015264,2475118.4474646146,2846445.782201678,391847.2975587583
2002-03-17~2002-03-23,10583865.419588238,3444634.4512952776,2372010.6954645254,2109739.0693100407,1345711.127277698,1327287.7043976698,836572.9588145555,10830086.224736238,1440346.6072238293,1441530.0281027844,2115267.3158056526,1708941.2515474015,1789822.1568176278,2475832.906043021,2847779.4379224423,392280.4442070271
2002-03-24~2002-03-30,10583595.140487056,3445140.914110247,2372520.5542392954,2111686.4864789443,1346093.5400691796,1327935.7697720462,837486.0519120782,10831781.959747635,1440627.7717433125,1441843.3779166783,2115045.126236243,1709512.1010186714,1790254.269977893,2476546.2410824937,2849111.3928137757,392713.30712156
2002-03-31~2002-04-06,10583323.366724154,3445646.197000636,2373029.450319529,2113631.659915347,1346475.379249217,1328582.777957542,838397.889813636,10833479.774360599,1440908.564264034,1442156.416389179,2114823.4290740746,1710081.966918223,1790685.6152823213,2477258.4525830317,2850441.646875679,393145.8863023571
2002-04-07~2002-04-13,10583089.228155805,3446078.357497323,2373464.8807334653,2115297.165604355,1346802.2134270794,1329136.514966205,839178.4661243055,10834936.699221939,1441148.9474868623,1442424.4872775604,2114633.7948510414,1710569.640560757,1791054.7286784106,2477868.025338219,2851580.5109216413,393516.4426284342
2002-04-14~2002-04-20,10582814.678592559,3446581.449099204,2373971.988952417,2117238.172108971,1347182.9873287207,1329781.5598009224,840087.9729476434,10836638.375952097,1441429.0491527405,1442736.9475446164,2114413.012159465,1711137.6798271174,1791484.647964857,2478578.1502664513,2852907.6063003163,393948.4948751504
2002-04-21~2002-04-27,10582538.63436759,3447083.3607765045,2374478.1344768316,2119176.9348810865,1347563.187618918,1330425.547446759,840996.2245750164,10838342.132283824,1441708.7788198572,1443049.0964702794,2114192.7218751307,1711704.7355217594,1791913.7993954667,2479287.151655749,2854233.0008495613,394380.2633881307
2002-04-28~2002-05-04,10582261.095480902,3447584.0925292238,2374983.31730671,2121113.4539207015,1347942.8142976714,1331068.477903715,841903.2210064249,10840047.968217116,1441988.136488212,1443360.934054549,2113972.9239980374,1712270.8076446832,1792342.1829702398,2479995.0295061124,2855556.6945693754,394811.7481673752
2002-05-05~2002-05-11,10581982.06193249,3448083.6443573623,2375487.5374420513,2123047.7292278158,1348321.8673649807,1331710.3511717906,842808.9622418685,10841755.883751974,1442267.1221578051,1443672.4602974257,2113753.6185281863,1712835.8961958888,1792769.7986891763,2480701.783817542,2856878.687459759,395242.9492128838
2002-05-12~2002-05-18,10581701.533722352,3448582.0162609196,2375990.7948828563,2124979.76080243,1348700.346820846,1332351.1672509853,843713.4482813475,10843465.8788884,1442545.7358286367,1443983.675198909,2113534.8054655767,1713400.001175376,1793196.6465522763,2481407.414590037,2858198.979520712,395673.86652465654
