datetime,TotalPopulation,BusanPopulation,ChungcheongbukPopulation,ChungcheongnamPopulation,DaeguPopulation,DaejeonPopulation,GangwonPopulation,GwanguPopulation,GyeonggiPopulation,GyeongsangbukPopulation,GyeongsangnamPopulation,InchenPopulation,JejuPopulation,JeollanamPopulation,JeonbukPopulation,SeoulPopulation,UlsanPopulation
2002-01-06,47730305.55770373,3704468.74946542,1468268.7362734193,1899345.42405203,2511269.206713541,1399284.9354438556,1518342.157954772,1372449.2734162326,9905235.249534836,2713234.433344091,3075477.5853158142,2501904.2128527313,550021.5537773779,2026255.0615506773,1928492.9165377445,10117897.173048109,1044748.0797305449
2002-01-13,47737941.67177615,3704158.158860401,1468477.1668729745,1899758.7875885542,2511338.7464504475,1399691.595565476,1518360.9609487087,1372712.3112225232,9909756.596069485,2713215.2793693333,3076132.0853945366,2502662.6381413937,550019.8740718303,2025964.4581910735,1928363.115076234,10118781.029456958,1045051.830842687
2002-01-20,47745571.079485536,3703847.5592834135,1468685.4647754221,1900171.773699729,2511407.9545031553,1400097.5579098463,1518379.7946962276,1372974.9793905807,9914276.15715429,2713196.052828004,3076785.83555405,2503420.514179405,550018.4893216194,2025674.1161175414,1928233.3505876372,10119661.957268639,1045355.1666053294
2002-01-27,47753193.78083189,3703536.950734458,1468893.6299807625,1900584.3823855547,2511476.830871665,1400502.8224769665,1518398.6591973284,1373237.2779204047,9918793.93278925,2713176.7537201033,3077438.8357943534,2504177.840966765,550017.399526745,2025384.0353300814,1928103.6230719537,10120539.956483154,1045658.0870184721
2002-02-03,47759722.18712553,3703270.7076943982,1469071.9516835609,1900937.7465736375,2511535.603765413,1400849.636732197,1518414.8532470413,1373461.8110298233,9922664.890832605,2713160.1538705495,3077997.9534115694,2504826.541054392,550016.7001772225,2025135.6026174992,1927992.457485932,10121290.196314175,1045917.4025025844
2002-02-10,47767332.43379768,3702960.082483215,1469279.8704514161,1901349.654326672,2511603.8641489833,1401253.6054272808,1518433.7748619376,1373723.4230886425,9927179.350632137,2713140.719996158,3078649.56094477,2505582.847804828,550016.1581565446,2024846.0070756013,1927862.7986342309,10122162.756705375,1046219.5515523705
2002-02-17,47774935.974106796,3702649.448300063,1469487.6565221641,1901761.1846543571,2511671.7928483547,1401656.8763451145,1518452.7272304157,1373984.6655092281,9931692.024981825,2713121.2135551954,3079300.4185587605,2506338.605304613,550015.9110912032,2024556.672819775,1927733.1767554432,10123032.38849941,1046521.2852526569
2002-02-24,47782532.808052875,3702338.805144943,1469695.3098958046,1902172.337556693,2511739.389863528,1402059.4494856982,1518471.710352476,1374245.5382915805,9936202.913881669,2713101.63454766,3079950.5262535424,2507093.8135537463,550015.9589811985,2024267.5998500208,1927603.5918495695,10123899.091696277,1046822.6036034436
2002-03-03,47792290.31173584,3701939.3936193446,1469962.0978212666,1902700.4081326528,2511825.8129389076,1402576.0182182442,1518496.1624126332,1374580.403012711,9942000.004663328,2713076.3549095406,3080785.2770818723,2508063.988526165,550016.4539578093,2023896.3185337486,1927437.0370124208,10125009.121133147,1047209.4026021289
2002-03-10,47799871.81685213,3701628.7299568676,1470169.4478872332,1903110.698348476,2511892.65181877,1402976.9964393987,1518515.2158285952,1374840.430907673,9946506.812534954,2713056.6100355564,3081433.6706756037,2508817.9413452386,550017.176031431,2023607.8427893016,1927307.5366160634,10125869.130393632,1047509.7715826305
2002-03-17,47807446.6156054,3701318.057322422,1470376.6652560926,1903520.6111389506,2511959.159014434,1403377.276883303,1518534.2999981393,1375100.0891644012,9951011.834956735,2713036.792595,3082081.314350126,2509571.3449136605,550018.1930603893,2023319.6283309266,1927178.0731926197,10126726.211056948,1047809.7252136325
2002-03-24,47815014.70799563,3701007.375716008,1470583.7499278446,1903930.1465040755,2512025.3345259,1403776.859549957,1518553.4149212656,1375359.3777828962,9955515.07192867,2713016.902587872,3082728.2081054384,2510324.199231432,550019.505044684,2023031.6751586236,1927048.6467420897,10127580.363123097,1048109.2634951347
