week_range,Residential,General,Educational,Industrial,Agricultural,Streetlights,Other,Total Electricity Usage
2002-01-06~2002-01-12,6323269344.0,9772057577.0,726643939.0,23304507726.0,1583005586.0,278592344.0,783024467.0,42771100983.0
2002-01-13~2002-01-19,5665109653.75,8465000824.75,597221392.0,20220603788.25,1323177536.0,253630591.5,1106861292.25,37631605078.5
2002-01-20~2002-01-26,5006949963.5,7157944072.5,467798845.0,17136699850.5,1063349486.0,228668839.0,1430698117.5,32492109174.0
2002-01-27~2002-02-02,4348790273.25,5850887320.25,338376298.0,14052795912.75,803521436.0,203707086.5,1754534942.75,27352613269.5
2002-02-03~2002-02-09,3690630583.0,4543830568.0,208953751.0,10968891975.0,543693386.0,178745334.0,2078371768.0,22213117365.0
2002-02-10~2002-02-16,3613422803.25,4455410353.5,211675454.0,11286245185.0,528946275.75,177018441.5,2019558912.0,22292277425.0
2002-02-17~2002-02-23,3536215023.5,4366990139.0,214397157.0,11603598395.0,514199165.5,175291549.0,1960746056.0,22371437485.0
2002-02-24~2002-03-02,3459007243.75,4278569924.5,217118860.0,11920951605.0,499452055.25,173564656.5,1901933200.0,22450597545.0
2002-03-03~2002-03-09,3381799464.0,4190149710.0,219840563.0,12238304815.0,484704945.0,171837764.0,1843120344.0,22529757605.0
2002-03-10~2002-03-16,3402447511.8,4212696052.6,225172379.4,12268583274.2,478754310.6,170155718.0,1770036991.4,22527846238.0
2002-03-17~2002-03-23,3423095559.6,4235242395.2,230504195.8,12298861733.4,472803676.2,168473672.0,1696953638.8,22525934871.0
2002-03-24~2002-03-30,3443743607.4,4257788737.8,235836012.2,12329140192.6,466853041.8,166791626.0,1623870286.2,22524023504.0
2002-03-31~2002-04-06,3464391655.2,4280335080.4,241167828.6,12359418651.8,460902407.4,165109580.0,1550786933.6,22522112137.0
2002-04-07~2002-04-13,3485039703.0,4302881423.0,246499645.0,12389697111.0,454951773.0,163427534.0,1477703581.0,22520200770.0
2002-04-14~2002-04-20,3448598837.5,4292411304.75,243592419.0,12429770214.5,447103757.25,160940547.75,1364429242.75,22386846323.5
2002-04-21~2002-04-27,3412157972.0,4281941186.5,240685193.0,12469843318.0,439255741.5,158453561.5,1251154904.5,22253491877.0
2002-04-28~2002-05-04,3375717106.5,4271471068.25,237777967.0,12509916421.5,431407725.75,155966575.25,1137880566.25,22120137430.5
2002-05-05~2002-05-11,3339276241.0,4261000950.0,234870741.0,12549989525.0,423559710.0,153479589.0,1024606228.0,21986782984.0
2002-05-12~2002-05-18,3354280518.5,4362137108.25,236043262.5,12492361289.5,442675778.75,152147021.5,934899274.75,21974544253.75
2002-05-19~2002-05-25,3369284796.0,4463273266.5,237215784.0,12434733054.0,461791847.5,150814454.0,845192321.5,21962305523.5
2002-05-26~2002-06-01,3384289073.5,4564409424.75,238388305.5,12377104818.5,480907916.25,149481886.5,755485368.25,21950066793.25
2002-06-02~2002-06-08,3399293351.0,4665545583.0,239560827.0,12319476583.0,500023985.0,148149319.0,665778415.0,21937828063.0
2002-06-09~2002-06-15,3416359022.0,4751184913.2,240748065.2,12389909550.2,497398053.0,148067257.6,620386207.6,22064053068.8
2002-06-16~2002-06-22,3433424693.0,4836824243.4,241935303.4,12460342517.4,494772121.0,147985196.2,574994000.2,22190278074.6
2002-06-23~2002-06-29,3450490364.0,4922463573.6,243122541.6,12530775484.6,492146189.0,147903134.8,529601792.8,22316503080.4
