주차,기간,기사 갯수,오염,환경 오염,생물 멸종,산성비,수질 오염,기후 위기,온난화 가속화,오존층 파괴,유해 물질 누출,이산화탄소,주간 뉴스 수,뉴스 비율
1,20000103 - 20000109,10,12,0,0,5,0,0,0,0,0,2,29724,0.0003364284753061499
2,20000110 - 20000116,28,33,0,0,4,0,0,0,1,0,2,29724,0.0009419997308572198
3,20000117 - 20000123,16,14,0,0,1,0,0,0,1,0,5,29724,0.0005382855604898399
4,20000124 - 20000130,19,24,0,0,2,0,0,0,0,0,6,29724,0.0006392141030816848
5,20000131 - 20000206,10,16,1,0,3,0,0,0,0,0,1,29724,0.0003364284753061499
6,20000207 - 20000213,13,14,0,0,1,0,0,0,0,0,2,29724,0.00043735701789799486
7,20000214 - 20000220,20,29,0,0,13,0,0,0,0,0,3,29724,0.0006728569506122998
8,20000221 - 20000227,21,26,0,0,3,0,0,0,0,0,5,29724,0.0007064997981429148
9,20000228 - 20000305,47,65,0,0,25,1,0,0,0,0,1,29724,0.0015812138339389046
10,20000306 - 20000312,17,13,0,0,0,0,0,0,0,0,5,29724,0.0005719284080204549
11,20000313 - 20000319,24,28,0,1,3,0,0,0,0,0,6,29724,0.0008074283407347598
12,20000320 - 20000326,15,16,0,0,4,0,0,0,0,0,0,29724,0.0005046427129592249
13,20000327 - 20000402,12,15,0,0,1,0,0,0,0,0,2,30657,0.0003914277326548586
14,20000403 - 20000409,12,15,0,0,1,0,0,0,1,0,0,32991,0.000363735564244794
15,20000410 - 20000416,13,13,0,0,1,0,0,0,0,0,6,32991,0.00039404686126519355
16,20000417 - 20000423,34,30,0,0,5,1,0,0,0,0,10,32991,0.001030584098693583
17,20000424 - 20000430,25,33,0,0,3,0,0,0,0,0,2,32991,0.0007577824255099875
18,20000501 - 20000507,17,19,0,0,2,0,0,0,0,0,4,32991,0.0005152920493467915
19,20000508 - 20000514,19,23,0,0,3,0,0,0,0,0,3,32991,0.0005759146433875906
20,20000515 - 20000521,24,21,1,0,7,0,0,0,0,0,2,32991,0.000727471128489588
21,20000522 - 20000528,31,37,0,0,3,0,0,0,0,0,2,32991,0.0009396502076323846
22,20000529 - 20000604,29,40,0,0,5,0,0,0,2,0,4,32991,0.0008790276135915856
23,20000605 - 20000611,24,33,0,0,4,0,0,0,0,0,3,32991,0.000727471128489588
24,20000612 - 20000618,21,22,0,0,2,0,0,0,0,0,5,32991,0.0006365372374283895
25,20000619 - 20000625,23,21,0,0,8,0,0,0,0,0,3,32991,0.0006971598314691886
26,20000626 - 20000702,17,20,0,0,4,0,0,0,0,0,1,33064,0.0005141543672876845
27,20000703 - 20000709,20,26,0,0,2,0,0,0,1,0,1,33247,0.0006015580353114566
28,20000710 - 20000716,15,16,0,0,1,0,0,0,0,0,1,33247,0.0004511685264835925
29,20000717 - 20000723,20,26,0,0,1,0,0,0,0,0,4,33247,0.0006015580353114566
30,20000724 - 20000730,18,22,0,0,0,1,0,0,0,0,5,33247,0.000541402231780311
31,20000731 - 20000806,26,26,0,0,1,0,0,0,0,0,2,33247,0.0007820254459048936
32,20000807 - 20000813,13,14,0,0,3,0,0,0,0,0,0,33247,0.0003910127229524468
33,20000814 - 20000820,14,14,0,0,4,0,0,0,0,0,1,33247,0.00042109062471801966
34,20000821 - 20000827,16,19,0,0,3,0,0,0,0,0,3,33247,0.00048124642824916536
35,20000828 - 20000903,13,12,0,0,2,0,0,0,0,0,4,33247,0.0003910127229524468
36,20000904 - 20000910,17,14,0,0,1,1,0,0,1,0,3,33247,0.0005113243300147382
37,20000911 - 20000917,8,7,0,0,4,0,0,0,0,0,2,33247,0.00024062321412458268
38,20000918 - 20000924,11,12,0,0,6,1,0,0,0,0,1,33247,0.00033085691942130117
39,20000925 - 20001001,10,13,0,0,1,1,0,0,1,0,2,33588,0.0002977253781112302
40,20001002 - 20001008,22,22,0,0,1,0,0,0,1,0,3,35643,0.000617231995062144
41,20001009 - 20001015,15,16,0,0,1,0,0,0,0,0,2,35643,0.00042083999663328003
42,20001016 - 20001022,15,13,0,0,3,0,0,0,0,0,4,35643,0.00042083999663328003
43,20001023 - 20001029,15,17,0,0,3,0,0,0,0,0,3,35643,0.00042083999663328003
44,20001030 - 20001105,36,43,0,0,4,2,0,0,0,0,14,35643,0.0010100159919198722
45,20001106 - 20001112,18,20,0,0,3,0,0,0,0,0,3,35643,0.0005050079959599361
46,20001113 - 20001119,16,18,0,0,2,0,0,0,0,0,3,35643,0.000448895996408832
47,20001120 - 20001126,26,23,0,0,7,0,0,0,0,0,7,35643,0.000729455994164352
48,20001127 - 20001203,13,14,0,0,1,0,0,0,0,0,3,35643,0.000364727997082176
49,20001204 - 20001210,26,30,0,0,0,1,0,0,0,0,6,35643,0.000729455994164352
50,20001211 - 20001217,15,19,0,0,0,0,0,0,0,0,2,35643,0.00042083999663328003
51,20001218 - 20001224,18,23,0,0,0,0,0,0,0,0,2,35643,0.0005050079959599361
52,20001225 - 20001231,14,13,0,0,0,0,0,0,0,0,2,35643,0.00039278399685772805
53,20010101 - 20010107,14,18,0,0,2,0,0,0,0,0,0,36968,0.0003787059078121619
54,20010108 - 20010114,5,5,0,0,1,0,0,0,0,0,0,36968,0.00013525210993291494
55,20010115 - 20010121,13,13,0,0,0,0,0,0,0,0,0,36968,0.00035165548582557886
56,20010122 - 20010128,10,12,0,0,0,0,0,0,0,0,1,36968,0.0002705042198658299
57,20010129 - 20010204,11,12,0,0,3,1,0,0,0,0,0,36968,0.0002975546418524129
