Week_Num,Date_Time,Article_Num,Polution,Enviroment_Polution,Biodiversity_Loss,Acid_Rain,Water_Pollution,Climate_Crisis,Accelerated_Global_Warming,Ozone_Layer_Depletion,Hazardous_Substance_Leakage,Carbon_Dioxide,Weekly_News_Count,News_Ratio
1,2000-01-02,10,12,0,0,5,0,0,0,0,0,2,29724,0.0003364284753061
2,2000-01-09,28,33,0,0,4,0,0,0,1,0,2,29724,0.0009419997308572
3,2000-01-16,16,14,0,0,1,0,0,0,1,0,5,29724,0.0005382855604898
4,2000-01-23,19,24,0,0,2,0,0,0,0,0,6,29724,0.0006392141030816
5,2000-01-30,10,16,1,0,3,0,0,0,0,0,1,29724,0.0003364284753061
6,2000-02-06,13,14,0,0,1,0,0,0,0,0,2,29724,0.0004373570178979
7,2000-02-13,20,29,0,0,13,0,0,0,0,0,3,29724,0.0006728569506122
8,2000-02-20,21,26,0,0,3,0,0,0,0,0,5,29724,0.0007064997981429
9,2000-02-27,47,65,0,0,25,1,0,0,0,0,1,29724,0.0015812138339389
10,2000-03-05,17,13,0,0,0,0,0,0,0,0,5,29724,0.0005719284080204
11,2000-03-12,24,28,0,1,3,0,0,0,0,0,6,29724,0.0008074283407347
12,2000-03-19,15,16,0,0,4,0,0,0,0,0,0,29724,0.0005046427129592
13,2000-03-26,12,15,0,0,1,0,0,0,0,0,2,30657,0.0003914277326548
14,2000-04-02,12,15,0,0,1,0,0,0,1,0,0,32991,0.0003637355642447
15,2000-04-09,13,13,0,0,1,0,0,0,0,0,6,32991,0.0003940468612651
16,2000-04-16,34,30,0,0,5,1,0,0,0,0,10,32991,0.0010305840986935
17,2000-04-23,25,33,0,0,3,0,0,0,0,0,2,32991,0.0007577824255099
18,2000-04-30,17,19,0,0,2,0,0,0,0,0,4,32991,0.0005152920493467
19,2000-05-07,19,23,0,0,3,0,0,0,0,0,3,32991,0.0005759146433875
20,2000-05-14,24,21,1,0,7,0,0,0,0,0,2,32991,0.0007274711284895
21,2000-05-21,31,37,0,0,3,0,0,0,0,0,2,32991,0.0009396502076323
22,2000-05-28,29,40,0,0,5,0,0,0,2,0,4,32991,0.0008790276135915
23,2000-06-04,24,33,0,0,4,0,0,0,0,0,3,32991,0.0007274711284895
24,2000-06-11,21,22,0,0,2,0,0,0,0,0,5,32991,0.0006365372374283
25,2000-06-18,23,21,0,0,8,0,0,0,0,0,3,32991,0.0006971598314691
26,2000-06-25,17,20,0,0,4,0,0,0,0,0,1,33064,0.0005141543672876
27,2000-07-02,20,26,0,0,2,0,0,0,1,0,1,33247,0.0006015580353114
28,2000-07-09,15,16,0,0,1,0,0,0,0,0,1,33247,0.0004511685264835
